dataset,3,7,15,x1,x2,x3
0,0.4225638482519217,0.6579401753713681,0.7486734440862881,3,7,15
1,0.39713194018585785,0.6770319354686541,0.7939997169677815,3,7,15
2,0.6538381907947125,0.786637999681478,0.9033046663481448,3,7,15
3,0.4436138896166947,0.6439514202487554,0.7481543701740055,3,7,15
4,0.5630758807588075,0.6806458897922313,0.7435298102981029,3,7,15
