q,0,1,2,3,4
3,0.4225638482519217,0.39713194018585785,0.6538381907947125,0.4436138896166947,0.5630758807588075
7,0.6579401753713681,0.6770319354686541,0.786637999681478,0.6439514202487554,0.6806458897922313
15,0.7486734440862881,0.7939997169677815,0.9033046663481448,0.7481543701740055,0.7435298102981029
31,0.7937470414534634,0.8363790744846455,0.9331581462016245,0.7680440176933866,0.7529923215898826
