q,    3.00000,    7.00000,   15.00000,   31.00000
0,    0.42256,    0.65794,    0.74867,    0.79375
1,    0.39713,    0.67703,    0.79400,    0.83638
2,    0.65384,    0.78664,    0.90330,    0.93316
3,    0.44361,    0.64395,    0.74815,    0.76804
4,    0.56308,    0.68065,    0.74353,    0.75299
